transaction_id,customer_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,redemption_status
1,733,2024-05-11,subscribed,uNY-568,,7,Not Redeemed
2,631,2023-05-15,burned,kBx-219,2023-06-04,5,Redeemed
3,309,2022-11-13,subscribed,PLG-122,,7,Not Redeemed
4,695,2024-01-26,subscribed,Wzf-897,,2,Not Redeemed
5,288,2022-10-12,burned,qGb-428,2022-11-20,6,Redeemed
6,307,2023-01-01,subscribed,gke-047,,8,Not Redeemed
7,812,2024-03-02,burned,Xrl-052,2024-03-19,1,Redeemed
8,594,2024-04-23,burned,ogZ-906,2024-07-17,4,Redeemed
9,966,2023-04-12,burned,dwn-619,2023-05-19,1,Redeemed
10,914,2023-03-17,burned,Wjs-081,2023-04-22,1,Redeemed
11,723,2022-12-17,burned,qsG-668,2023-01-02,10,Redeemed
12,662,2024-06-23,subscribed,Ott-996,,8,Not Redeemed
13,549,2024-04-17,subscribed,xdK-583,,7,Not Redeemed
14,352,2023-12-12,subscribed,QPt-905,,10,Not Redeemed
15,312,2024-07-02,subscribed,dQQ-520,,1,Not Redeemed
16,873,2024-06-02,burned,nLe-045,2024-06-09,2,Redeemed
17,59,2024-05-19,burned,HBW-410,2024-06-13,4,Redeemed
18,643,2023-07-25,subscribed,FGB-201,,1,Not Redeemed
19,924,2023-10-25,burned,pAF-254,2023-11-17,3,Redeemed
20,714,2024-02-23,subscribed,vnV-247,,8,Not Redeemed
21,755,2022-12-17,subscribed,ZOi-128,,8,Not Redeemed
22,35,2024-07-14,subscribed,MGf-702,,8,Not Redeemed
23,445,2024-06-19,burned,ZXq-907,2024-08-11,6,Redeemed
24,93,2023-10-08,burned,vQA-115,2023-10-13,6,Redeemed
25,950,2023-06-14,burned,ySc-600,2023-08-05,5,Redeemed
26,959,2023-01-07,burned,BfN-617,2023-03-23,9,Redeemed
27,207,2023-12-30,subscribed,IRP-445,,4,Not Redeemed
28,353,2023-08-11,burned,Spf-377,2023-10-19,10,Redeemed
29,903,2023-05-25,burned,wZK-361,2023-08-13,7,Redeemed
30,332,2024-04-17,burned,bOY-741,2024-05-21,1,Redeemed
31,817,2024-01-02,subscribed,Kwq-822,,9,Not Redeemed
32,862,2024-04-08,subscribed,dgd-661,,7,Not Redeemed
33,725,2023-11-19,burned,BEl-708,2024-02-01,10,Redeemed
34,159,2024-06-30,burned,euf-093,2024-09-27,9,Redeemed
35,954,2023-06-29,burned,Vsr-193,2023-08-28,7,Redeemed
36,957,2024-01-18,burned,GaD-873,2024-03-26,2,Redeemed
37,24,2023-03-27,subscribed,WxX-376,,6,Not Redeemed
38,404,2024-03-14,burned,NFV-018,2024-05-04,10,Redeemed
39,805,2023-05-24,burned,IzM-752,2023-06-14,4,Redeemed
40,516,2023-12-17,burned,eHG-441,2024-02-14,3,Redeemed
41,732,2023-04-11,subscribed,Bco-787,,2,Not Redeemed
42,364,2024-01-01,subscribed,ZSu-510,,6,Not Redeemed
43,382,2024-04-09,burned,PIN-842,2024-06-21,8,Redeemed
44,532,2022-04-08,burned,vhH-792,2022-04-28,6,Redeemed
45,956,2022-10-24,burned,JYu-214,2022-12-15,9,Redeemed
46,152,2024-04-11,burned,WFi-909,2024-05-23,5,Redeemed
47,562,2024-06-27,burned,MFQ-865,2024-06-28,2,Redeemed
48,689,2023-11-10,subscribed,iGB-868,,8,Not Redeemed
49,947,2023-08-08,subscribed,ZoR-407,,9,Not Redeemed
50,608,2023-12-10,subscribed,wLJ-361,,10,Not Redeemed
51,617,2024-06-02,burned,vwe-146,2024-07-12,4,Redeemed
52,420,2024-07-02,subscribed,dgo-134,,6,Not Redeemed
53,250,2024-04-27,subscribed,vIP-097,,10,Not Redeemed
54,117,2024-04-01,subscribed,ClE-151,,8,Not Redeemed
55,866,2023-08-03,burned,Xly-514,2023-09-06,9,Redeemed
56,512,2022-12-27,burned,MRH-291,2023-02-26,5,Redeemed
57,740,2023-03-18,subscribed,TJX-667,,6,Not Redeemed
58,578,2024-06-29,burned,DhQ-265,2024-08-12,4,Redeemed
59,335,2024-07-02,subscribed,osI-244,,5,Not Redeemed
60,418,2023-10-22,subscribed,Tlr-725,,7,Not Redeemed
61,932,2024-07-14,subscribed,UFN-187,,9,Not Redeemed
62,774,2024-07-12,subscribed,nje-697,,10,Not Redeemed
63,295,2023-05-22,burned,Ndo-242,2023-06-11,6,Redeemed
64,938,2024-03-08,burned,Slo-500,2024-05-24,6,Redeemed
65,755,2022-01-21,burned,lRV-701,2022-04-15,8,Redeemed
66,371,2022-12-26,burned,IHw-757,2023-01-27,4,Redeemed
67,186,2023-10-13,subscribed,NcA-910,,3,Not Redeemed
68,246,2021-08-05,burned,UzK-359,2021-08-14,7,Redeemed
69,637,2024-02-05,subscribed,Sqn-557,,5,Not Redeemed
70,268,2024-01-12,burned,yfa-738,2024-03-27,2,Redeemed
71,643,2024-04-09,burned,onf-960,2024-05-06,2,Redeemed
72,237,2023-12-27,burned,fQD-442,2024-03-19,6,Redeemed
73,530,2022-05-30,subscribed,qXv-926,,8,Not Redeemed
74,552,2022-02-07,subscribed,ZjX-048,,1,Not Redeemed
75,21,2022-11-08,subscribed,Sze-633,,6,Not Redeemed
76,911,2022-11-04,subscribed,etj-292,,2,Not Redeemed
77,737,2024-04-09,burned,SWc-151,2024-05-02,2,Redeemed
78,867,2024-02-21,subscribed,HzW-158,,7,Not Redeemed
79,794,2024-05-29,subscribed,FSg-805,,10,Not Redeemed
80,520,2024-03-02,burned,iGI-955,2024-04-01,1,Redeemed
81,100,2024-05-17,burned,Mee-574,2024-05-24,6,Redeemed
82,752,2023-10-28,subscribed,PQk-148,,7,Not Redeemed
83,478,2024-06-17,burned,DCw-805,2024-09-02,8,Redeemed
84,599,2024-01-19,subscribed,Qcn-334,,7,Not Redeemed
85,298,2024-06-28,burned,QcY-014,2024-09-21,6,Redeemed
86,940,2023-09-19,subscribed,ieK-676,,9,Not Redeemed
87,526,2022-10-14,subscribed,pVZ-132,,3,Not Redeemed
88,334,2023-07-29,subscribed,jgV-032,,6,Not Redeemed
89,2,2023-10-21,subscribed,SSV-196,,4,Not Redeemed
90,375,2023-10-09,subscribed,ebq-604,,2,Not Redeemed
91,293,2023-12-07,burned,VcH-586,2023-12-15,1,Redeemed
92,837,2024-01-02,subscribed,uLw-244,,1,Not Redeemed
93,934,2023-09-11,subscribed,GsC-853,,10,Not Redeemed
94,553,2023-12-28,subscribed,Xkn-767,,3,Not Redeemed
95,318,2024-02-19,subscribed,EDJ-607,,4,Not Redeemed
96,502,2024-06-19,subscribed,gYY-767,,2,Not Redeemed
97,828,2024-07-06,burned,ltm-117,2024-07-08,1,Redeemed
98,381,2024-06-16,burned,grw-395,2024-07-26,4,Redeemed
99,623,2023-11-13,subscribed,IyK-190,,7,Not Redeemed
100,14,2022-06-29,burned,lWH-583,2022-07-21,10,Redeemed
101,504,2024-02-03,subscribed,NWX-323,,6,Not Redeemed
102,231,2024-06-14,burned,cgq-338,2024-07-03,6,Redeemed
103,985,2024-07-02,burned,GUf-745,2024-07-02,9,Redeemed
104,84,2024-01-28,subscribed,RXN-168,,2,Not Redeemed
105,130,2022-09-16,burned,tXB-076,2022-10-02,4,Redeemed
106,743,2024-04-08,burned,AjR-114,2024-04-09,5,Redeemed
107,838,2024-06-13,subscribed,yEX-937,,1,Not Redeemed
108,145,2023-02-21,subscribed,XKP-426,,8,Not Redeemed
